accuracy,congruity,height,response,rt,stimulus,subject_nr,targetSide,width,md,auc,xflips,init_time
1,congruent,1050,2,813,rightCongruent.jpg,102,right,1680,-0.208198820651,-0.192272022253,0,280.0
1,congruent,1050,1,926,leftCongruent.jpg,102,left,1680,-0.121922295422,-0.0996429174975,0,60.0
1,congruent,1050,2,968,rightCongruent.jpg,102,right,1680,-0.110539551801,-0.0797055142683,0,380.0
1,incongruent,1050,2,1021,rightIncongruent.jpg,102,right,1680,0.963394495867,0.834832822596,0,220.0
1,incongruent,1050,2,1927,rightIncongruent.jpg,103,right,1680,0.149058127934,0.145607567389,0,1140.0
1,incongruent,1050,1,1096,leftIncongruent.jpg,103,left,1680,-0.11645217881,-0.110931415551,0,600.0
1,incongruent,1050,2,821,rightIncongruent.jpg,103,right,1680,0.12931583691,0.130896874236,0,480.0
1,congruent,1050,1,849,leftCongruent.jpg,103,left,1680,-0.133248017825,-0.0901184410247,0,460.0
1,congruent,1050,1,884,leftCongruent.jpg,103,left,1680,0.266626217752,0.326025488993,0,460.0
1,congruent,1050,1,806,leftCongruent.jpg,103,left,1680,-0.0910638712983,-0.0682535639377,0,460.0
1,congruent,1050,2,911,rightCongruent.jpg,103,right,1680,0.156040664986,0.19775438644,0,500.0
1,incongruent,1050,1,853,leftIncongruent.jpg,103,left,1680,-0.138648287083,-0.0692634830233,0,500.0
1,congruent,1050,1,837,leftCongruent.jpg,103,left,1680,-0.162312157188,-0.144331152079,0,440.0
1,incongruent,1050,1,843,leftIncongruent.jpg,103,left,1680,-0.0726979235372,-0.0480285471148,0,500.0
1,incongruent,1050,2,813,rightIncongruent.jpg,103,right,1680,-0.105878233445,-0.0200371758238,0,560.0
1,congruent,1050,1,715,leftCongruent.jpg,103,left,1680,0.0748245563822,0.0696636929402,0,460.0
1,incongruent,1050,2,963,rightIncongruent.jpg,103,right,1680,-0.0949263539681,-0.0811546729096,0,660.0
1,congruent,1050,2,937,rightCongruent.jpg,103,right,1680,0.0235454873363,0.00311717235869,0,500.0
1,incongruent,1050,1,1156,leftIncongruent.jpg,103,left,1680,0.066186360414,0.0135842135012,0,460.0
1,congruent,1050,2,1213,rightCongruent.jpg,103,right,1680,0.847607444641,0.997974077453,1,640.0
1,congruent,1050,1,919,leftCongruent.jpg,103,left,1680,0.0519387446289,0.0519900580435,0,500.0
0,congruent,1050,2,1168,leftCongruent.jpg,103,left,1680,0.0604042387101,-0.0339070314336,0,740.0
1,incongruent,1050,1,1302,leftIncongruent.jpg,103,left,1680,-0.184324382106,-0.178629462245,0,780.0
1,congruent,1050,1,863,leftCongruent.jpg,103,left,1680,0.0509720477343,-0.0157876390966,0,560.0
1,incongruent,1050,1,1197,leftIncongruent.jpg,103,left,1680,-0.141359631091,-0.143997994418,0,680.0
1,congruent,1050,1,1115,leftCongruent.jpg,103,left,1680,-0.098461302988,-0.102250848121,0,640.0
1,congruent,1050,2,931,rightCongruent.jpg,103,right,1680,0.125530096413,0.121135610077,0,560.0
1,incongruent,1050,1,904,leftIncongruent.jpg,103,left,1680,-0.0372811701328,-0.0330931246894,0,500.0
1,incongruent,1050,1,1015,leftIncongruent.jpg,103,left,1680,-0.227849662609,-0.234455674786,0,520.0
1,incongruent,1050,1,935,leftIncongruent.jpg,103,left,1680,-0.0650617690079,-0.0270894823232,0,500.0
1,incongruent,1050,1,1014,leftIncongruent.jpg,103,left,1680,-0.144575042962,-0.134626423899,0,480.0
1,incongruent,1050,2,1023,rightIncongruent.jpg,103,right,1680,0.0393425869803,0.0188954509759,0,580.0
1,congruent,1050,2,927,rightCongruent.jpg,103,right,1680,-0.0581553409158,-0.0113575656887,0,500.0
1,congruent,1050,2,965,rightCongruent.jpg,103,right,1680,0.0907371117007,0.105090261599,0,460.0
1,incongruent,1050,2,998,rightIncongruent.jpg,103,right,1680,0.10827307468,0.0885826079449,0,560.0
1,incongruent,1050,2,1278,rightIncongruent.jpg,103,right,1680,-0.0460082818525,-0.0189018054793,0,860.0
1,congruent,1050,2,1000,rightCongruent.jpg,103,right,1680,0.0880325548075,0.0378266943181,0,640.0
1,congruent,1050,1,935,leftCongruent.jpg,103,left,1680,0.101490065652,0.108661368705,0,620.0
1,congruent,1050,1,813,leftCongruent.jpg,103,left,1680,-0.131468073898,-0.117513395162,0,520.0
1,congruent,1050,2,719,rightCongruent.jpg,103,right,1680,0.21486106183,0.23055786668,0,420.0
1,incongruent,1050,1,784,leftIncongruent.jpg,103,left,1680,-0.0511837090862,-0.0344193963688,0,500.0
1,incongruent,1050,2,783,rightIncongruent.jpg,103,right,1680,-0.122164406779,-0.0398619169103,0,500.0
1,congruent,1050,1,718,leftCongruent.jpg,103,left,1680,-0.0968008448155,-0.0616782212109,0,460.0
1,congruent,1050,2,902,rightCongruent.jpg,103,right,1680,-0.116747782684,-0.0529146910062,0,480.0
1,congruent,1050,1,677,leftCongruent.jpg,103,left,1680,-0.039598755729,-0.0506264529512,0,440.0
1,congruent,1050,1,917,leftCongruent.jpg,103,left,1680,0.840984935315,0.328554745162,0,400.0
1,incongruent,1050,1,1028,leftIncongruent.jpg,103,left,1680,-0.108076504299,-0.0753138201055,0,620.0
1,congruent,1050,2,941,rightCongruent.jpg,103,right,1680,-0.134304124597,-0.0912239107082,0,520.0
1,congruent,1050,2,821,rightCongruent.jpg,103,right,1680,0.097601516334,0.130863195221,0,480.0
1,congruent,1050,1,1062,leftCongruent.jpg,103,left,1680,-0.277351323197,-0.279174919428,0,380.0
1,congruent,1050,1,784,leftCongruent.jpg,103,left,1680,-0.0815243198704,-0.106842887223,0,420.0
1,congruent,1050,2,945,rightCongruent.jpg,103,right,1680,0.166894393108,0.187128137336,0,580.0
1,incongruent,1050,2,984,rightIncongruent.jpg,103,right,1680,0.0886370978598,0.117255789682,0,620.0
1,incongruent,1050,1,887,leftIncongruent.jpg,103,left,1680,-0.177699220432,-0.191790751838,0,560.0
1,incongruent,1050,1,851,leftIncongruent.jpg,103,left,1680,-0.101829564243,-0.0424605242602,0,480.0
1,congruent,1050,2,792,rightCongruent.jpg,103,right,1680,0.104643832485,0.0367975350768,0,440.0
1,incongruent,1050,2,815,rightIncongruent.jpg,103,right,1680,-0.106312310004,-0.0485111397009,0,500.0
1,congruent,1050,2,1095,rightCongruent.jpg,103,right,1680,0.599938868977,0.556826129195,0,580.0
1,incongruent,1050,2,841,rightIncongruent.jpg,103,right,1680,-0.0714206529104,-0.0745523814078,0,560.0
1,incongruent,1050,2,805,rightIncongruent.jpg,103,right,1680,0.0581476266869,0.0495298049616,0,500.0
1,congruent,1050,1,790,leftCongruent.jpg,103,left,1680,-0.185183437413,-0.160814290354,0,420.0
1,congruent,1050,2,782,rightCongruent.jpg,103,right,1680,-0.0524987744899,-0.00903070428269,0,500.0
1,incongruent,1050,2,970,rightIncongruent.jpg,103,right,1680,-0.13687613145,-0.0497359484341,0,580.0
1,congruent,1050,1,847,leftCongruent.jpg,103,left,1680,0.260599349487,0.319270265103,0,480.0
1,incongruent,1050,1,967,leftIncongruent.jpg,103,left,1680,0.04620423854,-0.0251240722952,0,620.0
1,congruent,1050,2,1111,rightCongruent.jpg,103,right,1680,0.212249510624,0.284486514756,0,420.0
1,congruent,1050,2,846,rightCongruent.jpg,103,right,1680,-0.0990079632712,-0.0794022156738,0,540.0
1,incongruent,1050,2,957,rightIncongruent.jpg,103,right,1680,0.0855892034389,0.0465440289728,0,500.0
1,congruent,1050,1,780,leftCongruent.jpg,103,left,1680,-0.192394536681,-0.212613545614,0,480.0
1,incongruent,1050,2,847,rightIncongruent.jpg,103,right,1680,0.213629681519,0.221579669027,0,540.0
1,incongruent,1050,1,821,leftIncongruent.jpg,103,left,1680,0.0762154330149,0.109183725026,0,500.0
1,incongruent,1050,1,926,leftIncongruent.jpg,103,left,1680,-0.226319341104,-0.25827047763,0,680.0
1,incongruent,1050,1,733,leftIncongruent.jpg,103,left,1680,0.0851843311663,0.0165953957399,0,420.0
1,congruent,1050,2,737,rightCongruent.jpg,103,right,1680,0.0541466516008,0.0433647176685,0,460.0
1,congruent,1050,2,974,rightCongruent.jpg,103,right,1680,-0.214905519762,-0.131996765068,0,500.0
1,incongruent,1050,2,864,rightIncongruent.jpg,103,right,1680,-0.0499270288582,-0.029553791083,0,600.0
1,incongruent,1050,2,844,rightIncongruent.jpg,103,right,1680,-0.0680468232385,-0.0252574971324,0,540.0
1,congruent,1050,1,713,leftCongruent.jpg,103,left,1680,-0.133462470074,-0.128598930715,0,440.0
1,incongruent,1050,2,886,rightIncongruent.jpg,103,right,1680,-0.0784623371466,-0.0267387208306,0,640.0
1,incongruent,1050,1,743,leftIncongruent.jpg,103,left,1680,-0.0841287007693,-0.107112800212,0,480.0
1,congruent,1050,1,781,leftCongruent.jpg,103,left,1680,-0.0994175208033,-0.0888574914134,0,500.0
1,congruent,1050,1,789,leftCongruent.jpg,103,left,1680,0.482845208898,0.609908801765,1,420.0
1,incongruent,1050,2,776,rightIncongruent.jpg,103,right,1680,0.227017023769,0.25732703561,0,440.0
1,incongruent,1050,2,904,rightIncongruent.jpg,103,right,1680,1.0998402932,0.999085686567,0,400.0
